path	sha256	lines	bytes	parse_result	risk_markers
plugins/moai-seller/skills/commerce-coupang-ad-optimizer/SKILL.md	ef8b93dc35986ad5faf252539587d4810e296cd11a7b8868834e5f35cb48c102	11	608	frontmatter_parsed	-
plugins/moai-seller/skills/commerce-detail-page-copy/SKILL.md	018f5d50756bb10495887b01a7b564baf678cebc22496160320344dbe60f480d	30	2702	frontmatter_parsed	external_chain:1
plugins/moai-seller/skills/commerce-detail-page-copy/references/13-sections.md	980332f8e68ab16cf2a85648a04696c63fc3a38bd48ec7b345d2fb4930d4f3dc	162	5932	text	-
plugins/moai-seller/skills/commerce-detail-page-copy/references/category-briefs.md	bb627d1d44f5e6e92bc375b6a660036b97ba0e97060b7dcf0cd47e89d81e6be2	111	4743	text	-
plugins/moai-seller/skills/commerce-detail-page-copy/tests/test-cases.yaml	28ed0f746f11cf568b54be68263eee0de14235f2452db35e9d2213fce3ad8259	26	843	yaml_parsed	-
plugins/moai-seller/skills/commerce-detail-page-image/SKILL.md	a6839944ef62c653f2e06143452803ee09acd47d110cad9372d621a1cf7443bc	193	10702	frontmatter_parsed	-
plugins/moai-seller/skills/commerce-detail-page-image/references/image-prompts.md	424dfaf956547c9df27cd072f043c8ca80fbe8748d0770966ac245bb6573901c	134	5887	text	-
plugins/moai-seller/skills/commerce-detail-page-image/references/sections-spec.md	16f6a4cc3b5eeccad2c7ed6465c38a9f158cecdb76f9436cab47fc99763b83c0	52	1936	text	-
plugins/moai-seller/skills/commerce-detail-page-image/tests/test-cases.yaml	dfdf25708d82e56afef6ce93eed71c7afbd337be2e07b06583b9973ff218e2e9	16	515	yaml_parsed	-
plugins/moai-seller/skills/commerce-detail-page-planner/SKILL.md	58737eb073166203436cbb4e32eb2b2fed708fadb90b7bf2a6bb243b21feef39	24	1935	frontmatter_parsed	-
plugins/moai-seller/skills/commerce-detail-page-planner/references/category-b2b-saas.md	2ba4bdb4f9850373a719a8e64f326b9e79205e5426c485f598c41cc31bd8966e	185	6954	text	-
plugins/moai-seller/skills/commerce-detail-page-planner/references/category-baby-kids.md	718088a16a0c5de740a1cd866adbcc6868bf9db4ea484eeb45fa36f9c15e9400	161	6120	text	-
plugins/moai-seller/skills/commerce-detail-page-planner/references/category-beauty.md	b91da9b8217355946af6ba5c0b6019ea1de494dd16e31e9900bb9169b39a3aef	174	6172	text	-
plugins/moai-seller/skills/commerce-detail-page-planner/references/category-digital-content.md	06a1d9d27b71c6ec10e5d59eb11673409d4c6c13051dde5ef9ba9624d016aafc	198	6760	text	-
plugins/moai-seller/skills/commerce-detail-page-planner/references/category-fashion.md	43a493f42c0d87e8bd6ca3c04f0ef4bee7da711ce0810b0ac183e31c5123e0b9	143	5110	text	-
plugins/moai-seller/skills/commerce-detail-page-planner/references/category-food.md	ce7f5fa5236d1552f095f1dd0bf1254fb7417352b56afd715397589e5fce48b7	154	5709	text	-
plugins/moai-seller/skills/commerce-detail-page-planner/references/category-luxury.md	2313483a7a8e50b8c7253f0b33f40f7547a36598dae2babb4a3e9581521ef005	182	5972	text	-
plugins/moai-seller/skills/commerce-detail-page-planner/references/category-pet.md	f0e08554dc19e099405868098c2bb96a061616ca7ae822bc156f25480ba406c0	136	4859	text	-
plugins/moai-seller/skills/commerce-detail-page-planner/references/category-sports-leisure.md	82eb7e1ff6b255cd8485a562cefb56010a7585e1f5e2dbf8da2a01e2bb4f808d	173	5149	text	-
